"","Estimate","p.value"
"07_17_14_2=07_17_14_2_1",2.18432188047565,8.70815562853667e-117
"07_17_14_1=07_17_14_1_1",1.56596942321201,2.0187036492796e-93
"06_16_13_2=06_16_13_2_2",0.969869116597504,2.95078554415015e-79
"06_16_13_4=06_16_13_4_2",0.749841358062351,2.20632496947577e-76
"06_16_13_1=06_16_13_1_2",0.79889664242474,1.47212772527658e-72
"06_16_13_5=06_16_13_5_2",0.901776031505679,4.10810232523821e-68
"09_31_20_1=09_31_20_1_5",2.62591918435838,6.83063740053984e-60
"09_31_20_2=09_31_20_2_5",1.49785206168046,8.58014898308038e-58
"07_17_14_3=07_17_14_3_1",2.11622788746134,1.872701232282e-56
"10_32_19_2=10_32_19_2_5",2.42873010381982,1.14372390518323e-51
"09_31_20_3=09_31_20_3_5",3.12073381763351,2.22257735763194e-42
"08_20_16_1=08_20_16_1_1",1.13844733460986,1.79739503027167e-37
"08_22_18=08_22_18_1",1.61629806907807,5.71754594240666e-35
"08_20_16_2=08_20_16_2_1",1.58739679426915,7.20579828419591e-35
"10_32_19_5=10_32_19_5_1",1.21010007137511,2.23485507638339e-34
"10_32_19_4=10_32_19_4_5",1.12852112199542,3.38540731222676e-30
"09_31_20_4=09_31_20_4_5",2.50818415487926,1.75883116207494e-28
"09_31_20_5=09_31_20_5_5",2.63559745896022,1.04999579273543e-26
"10_32_19_6=10_32_19_6_5",3.30476588048769,2.2072814567682e-24
"10_32_19_3=10_32_19_3_5",0.666697708448213,3.6588230018322e-24
"08_20_16_2=08_20_16_2_2",0.560351436463712,2.36149933569812e-23
"10_32_19_1=10_32_19_1_5",2.35165588487999,1.97113810763307e-21
"10_32_19_8=10_32_19_8_5",2.17279142258441,4.37734287926192e-20
"07_17_14_3=07_17_14_3_2",0.5730346282941,1.52646442388551e-19
"08_22_18=08_22_18_3",0.377379757347234,3.6357103959074e-17
"10_32_19_3=10_32_19_3_1",0.442577090242981,2.15526376721435e-16
"06_16_13_6=06_16_13_6_2",0.452998777570293,3.32452353599594e-16
"11_19_15_5=11_19_15_5_1",0.46664647333767,6.0706499649979e-14
"07_17_14_2=07_17_14_2_2",0.76161359286744,1.36193270210884e-12
"08_22_18=08_22_18_2",0.268484631850553,6.17825468593826e-12
"10_32_19_6=10_32_19_6_4",0.473097596784681,1.7795502952105e-11
"10_32_19_1=10_32_19_1_4",0.200756959383875,2.62714306192562e-11
"10_32_19_7=10_32_19_7_5",3.27274503677496,4.03155708341546e-11
"09_31_20_1=09_31_20_1_4",0.0137565144498971,1.08165384932381e-09
"07_17_14_1=07_17_14_1_2",0.148296636795563,1.31548168109253e-09
"11_19_15_3=11_19_15_3_2",0.454039810336916,3.25551452123259e-09
"09_31_20_4=09_31_20_4_4",0.198014913674558,4.57625538725457e-09
"10_32_19_7=10_32_19_7_3",0.342887369866383,5.64719216369818e-08
"09_31_20_5=09_31_20_5_4",0.283961865728669,7.5950107749521e-08
"11_19_15_9=11_19_15_9_1",0.434290895552411,1.38979626647471e-07
"11_19_15_2=11_19_15_2_2",0.278225947002238,2.5541893560913e-07
"08_20_16_1=08_20_16_1_3",0.0516077477003684,4.23862434857772e-07
"07_17_14_3=07_17_14_3_3",0.01187307391657,7.03893814143129e-07
"08_20_16_2=08_20_16_2_3",0.333854997831479,3.90406494381593e-05
"11_19_15_1=11_19_15_1_1",0.361459038013512,6.07595204572186e-05
"11_19_15_4=11_19_15_4_2",0.272931112247968,0.000239906141696237
"10_32_19_5=10_32_19_5_2",0.133079708572337,0.000633566436300577
"11_19_15_2=11_19_15_2.NA",0.388234770292745,0.000987979245914674
"11_19_15_3=11_19_15_3.NA",0.166783351595403,0.00176919269583817
"11_19_15_9=11_19_15_9_2",0.0405671418294911,0.0168490144750838
"11_19_15_11=11_19_15_11_1",0.183247687989036,0.0190449045117227
"10_32_19_1=10_32_19_1.NA",0.691295534131596,0.0378322640356449
"09_31_20_2=09_31_20_2.NA",1.40437153262422,0.0397981030810466
"10_32_19_4=10_32_19_4.NA",0.693766870083282,0.0474243433569271
"11_19_15_6=11_19_15_6_2",0.147085615917567,0.0498284975988235
"11_19_15_4=11_19_15_4_1",-0.0616918905886478,0.0332167551640928
"11_19_15_5=11_19_15_5.NA",-0.293003974331195,0.0176293256475648
"10_32_19_2=10_32_19_2_4",-0.294837714674038,0.0133345822526312
"10_32_19_1=10_32_19_1_1",-1.38453205594755,0.0104197574612377
"09_31_20_2=09_31_20_2_4",-0.310796268128935,0.00850314339095615
"11_19_15_11=11_19_15_11.NA",-0.232878578763689,0.00750256855276902
"16_12_09=16_12_09_1",-0.0966762085770897,0.00267857476591076
"11_19_15_10=11_19_15_10.NA",-0.315942396267005,0.00146825009167101
"09_31_20_1=09_31_20_1_3",-0.453849569305652,0.00124674195144552
"09_31_20_1=09_31_20_1_1",-0.978362251417789,0.000740264407393497
"10_32_19_7=10_32_19_7_2",-0.967685066374218,0.000322605602170795
"16_12_09=16_12_09_2",-0.416274029038451,0.000264616036248185
"09_31_20_3=09_31_20_3_4",-0.304912387502745,9.01260259700357e-05
"10_32_19_8=10_32_19_8_3",-0.176479677772215,7.30947397752522e-05
"07_17_14_1=07_17_14_1_3",-0.0603081923354215,1.27785731895158e-05
"11_19_15_9=11_19_15_9.NA",-0.474858037381902,5.55463768360011e-06
"10_32_19_5=10_32_19_5_5",-0.74925483755104,5.07962249092094e-06
"10_32_19_2=10_32_19_2_3",-0.0346946948682942,3.41305260696091e-06
"09_31_20_2=09_31_20_2_1",-1.01111622435667,1.05138424950715e-06
"09_31_20_5=09_31_20_5_3",-0.382585941670009,4.07741251774706e-07
"08_22_18=08_22_18_4",-0.709161035082552,3.1003625484919e-07
"10_32_19_4=10_32_19_4_2",-0.615929901663175,1.40969684460144e-07
"09_31_20_3=09_31_20_3_3",-0.458524030758011,8.19460136409728e-08
"07_17_14_1=07_17_14_1_5",-1.13685325107951,5.98542434064156e-09
"11_19_15_5=11_19_15_5_2",-0.173642499006474,5.40887072048297e-09
"09_31_20_4=09_31_20_4_3",-0.18658478112431,5.49862857095309e-10
"11_19_15_2=11_19_15_2_1",-0.666460717294983,5.0170990283622e-10
"10_32_19_1=10_32_19_1_2",-1.66367920575361,2.02106781394104e-11
"11_19_15_3=11_19_15_3_1",-0.620823161932319,1.33081879378085e-11
"10_32_19_8=10_32_19_8_2",-0.902592455174633,6.7436832438566e-12
"10_32_19_6=10_32_19_6_3",-0.410444722376416,4.58481980733164e-12
"11_19_15_1=11_19_15_1.NA",-0.56331631404137,4.01557533716602e-12
"10_32_19_3=10_32_19_3_4",-0.820655174681135,2.8515467691702e-13
"08_20_16_1=08_20_16_1_2",-0.00592444978077501,1.89922479439495e-13
"10_32_19_1=10_32_19_1_3",-0.195497116694297,2.26408684673057e-15
"09_31_20_5=09_31_20_5_2",-1.24662524957018,1.76611941543221e-15
"09_31_20_3=09_31_20_3_2",-1.39900440023995,1.30759864635954e-15
"06_16_13_6=06_16_13_6_1",-0.452998777570293,3.32452353599594e-16
"09_31_20_2=09_31_20_2_2",-1.0390747872886,2.37154095795085e-16
"10_32_19_3=10_32_19_3_2",-0.838259264896101,8.04668247135548e-18
"09_31_20_4=09_31_20_4_2",-1.21352385781702,2.44122244891203e-18
"09_31_20_1=09_31_20_1_2",-1.20746387808483,3.83255890603361e-19
"10_32_19_6=10_32_19_6_2",-1.82862609735853,1.21682927864032e-19
"10_32_19_2=10_32_19_2_2",-1.24412229801865,3.26442774506129e-20
"08_20_16_1=08_20_16_1_5",-1.55282862401531,6.90734935295835e-26
"08_20_16_1=08_20_16_1_4",-1.13287040497771,1.01789922632593e-29
"08_20_16_2=08_20_16_2_5",-1.19491780038781,4.56237968261963e-31
"10_32_19_5=10_32_19_5_4",-1.03278112181403,6.61488810129628e-32
"08_20_16_2=08_20_16_2_4",-0.832448501656411,6.07260751815467e-34
"07_17_14_3=07_17_14_3_5",-1.62740704694024,9.19990462202953e-35
"07_17_14_1=07_17_14_1_4",-1.06910459448896,1.69563185562993e-40
"07_17_14_3=07_17_14_3_4",-1.25012273116791,8.36511682031654e-45
"08_22_18=08_22_18_5",-1.21964934397954,2.13464090043129e-51
"07_17_14_2=07_17_14_2_5",-1.52295672396288,1.55033234654e-52
"06_16_13_5=06_16_13_5_1",-0.901776031505679,4.10810232523821e-68
"07_17_14_2=07_17_14_2_4",-0.944344577003679,9.98175412564466e-72
"06_16_13_1=06_16_13_1_1",-0.79889664242474,1.4721277252765e-72
"06_16_13_4=06_16_13_4_1",-0.749841358062351,2.20632496947577e-76
"06_16_13_2=06_16_13_2_1",-0.969869116597504,2.95078554415015e-79
